pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
ST,2022-10-05,80.2,2.94,5.09,"Trout, Mike",545361,686610,strikeout,swinging_strike,,,,,13.0,Mike Trout strikes out swinging.,R,R,L,ATH,LAA,S,2.0,,2,2,2022,-1.52,-0.75,-0.6417718055620498,1.0873475701500213,,,,0,6,Top,,,,,,,-5.128673632590837,-116.75135596787358,-0.6881804338545282,-12.750436353315052,23.53618869712507,-39.07853089201883,3.6,1.74,,,,81.3,2297.0,7.2,662421,519390,660650,672478,676391,669397,643393,664913,668843,53.3,,0.0,0.0,1.0,0.0,0.0,,37,5,Sweeper,1,0,0,1,0,1,0,1,Infield shift,Standard,300.0,0.031,-0.218,,,,,0.218,,1,-1,0.665,0.3349999999999999,24,30,24,31,3,2,5.0,1.0,,,4.31,-1.52,1.52,30.3,,,,,
FF,2022-10-05,95.4,2.7,5.56,"Trout, Mike",545361,686610,,ball,,,,,12.0,,R,R,L,ATH,LAA,B,,,1,2,2022,0.83,1.26,1.643677828774288,3.3691164437567434,,,,0,6,Top,,,,,,,-4.731217427724472,-138.79241402212404,-2.9716871101973976,11.858363411702832,32.76413409118125,-15.49261791280164,3.62008503922925,1.76357018640906,,,,96.4,2422.0,7.0,662421,519390,660650,672478,676391,669397,643393,664913,668843,53.48,,,,,,,,37,4,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shift,Standard,139.0,-0.006,0.042,,,,,-0.042,,1,-1,0.671,0.3289999999999999,24,30,24,31,3,2,5.0,1.0,,,1.26,0.83,-0.83,37.7,,,,,
FF,2022-10-05,94.0,2.72,5.48,"Trout, Mike",545361,686610,,ball,,,,,12.0,,R,R,L,ATH,LAA,B,,,0,2,2022,0.91,1.31,0.4115042432217958,4.298076112208959,,,,0,6,Top,,,,,,,-8.130696123093614,-136.53282257355866,-0.1619436727558574,13.334250739059032,33.872877837728836,-16.11335313690234,3.58090302055346,1.78297108551218,,,,94.9,2406.0,7.2,662421,519390,660650,672478,676391,669397,643393,664913,668843,53.3,,,,,,,,37,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shift,Standard,133.0,-0.003,0.019,,,,,-0.019,,1,-1,0.674,0.3259999999999999,24,30,24,31,3,2,5.0,1.0,,,1.3,0.91,-0.91,37.2,,,,,
FF,2022-10-05,94.6,2.83,5.4,"Trout, Mike",545361,686610,,called_strike,,,,,1.0,,R,R,L,ATH,LAA,S,,,0,1,2022,0.77,1.2,-0.4790278391531343,3.483533140723954,,,,0,6,Top,,,,,,,-10.487603115118182,-137.49187377464398,-2.0173298068533616,11.976830128141348,29.249706211017312,-16.65929555900839,3.62008503922925,1.78297108551218,,,,96.1,2460.0,7.1,662421,519390,660650,672478,676391,669397,643393,664913,668843,53.4,,,,,,,,37,2,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shift,Standard,138.0,0.009,-0.051,,,,,0.051,,1,-1,0.665,0.3349999999999999,24,30,24,31,3,2,5.0,1.0,,,1.34,0.77,-0.77,33.7,,,,,
FF,2022-10-05,93.4,3.02,5.32,"Trout, Mike",545361,686610,,swinging_strike,,,,,2.0,,R,R,L,ATH,LAA,S,,,0,0,2022,0.98,1.21,-0.2331375988753179,3.064376931624304,,,,0,6,Top,,,,,,,-10.683404632637018,-135.5598679009166,-2.7071169060871587,14.448683375306924,31.245572228144965,-16.849824281268187,3.6,1.74,,,,94.4,2403.0,7.1,662421,519390,660650,672478,676391,669397,643393,664913,668843,53.35,,,,,,,,37,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shift,Standard,137.0,0.005,-0.038,,,,,0.038,,1,-1,0.66,0.3399999999999999,24,30,24,31,3,2,5.0,1.0,,,1.43,0.98,-0.98,30.8,,,,,
CH,2022-10-05,83.8,2.95,5.21,"Trout, Mike",545361,686610,double,hit_into_play,,,,,6.0,Mike Trout doubles (28) on a sharp line drive to left fielder Tony Kemp.,R,R,L,ATH,LAA,X,7.0,line_drive,2,0,2022,1.52,0.29,0.4463022578487854,2.375028295097356,,,,2,3,Top,40.57,114.53,,,,,-8.933177665243445,-121.64314710934646,-0.6287834833270001,16.924419688669552,25.440249734055723,-29.379332044495193,3.6,1.74,141.0,106.9,7.0,84.8,1834.0,7.2,662421,519390,660650,672478,640461,669397,643393,664913,668843,53.3,0.647,0.61,1.25,1.0,1.0,1.0,4.0,17,3,Changeup,0,0,0,0,0,0,0,0,Infield shift,Standard,105.0,-0.021,0.475,,,,0.748,-0.475,106.9,0,0,0.539,0.4609999999999999,24,30,24,31,2,1,5.0,1.0,,,2.99,1.52,-1.52,30.6,,,,,
CU,2022-10-05,74.7,2.51,5.67,"Trout, Mike",545361,686610,,ball,,,,,14.0,,R,R,L,ATH,LAA,B,,,1,0,2022,-1.53,-1.02,0.7336320410947337,1.2560831941286272,,,,2,3,Top,,,,,,,-0.9801054547019592,-108.74244627933189,0.0201340791400159,-11.777992439150704,21.83592051598023,-40.412771472870574,3.54173211856816,1.7247752601249,,,,75.6,2051.0,7.3,662421,519390,660650,672478,640461,669397,643393,664913,668843,53.24,,,,,,,,17,2,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,315.0,-0.003,0.059,,,,,-0.059,,0,0,0.542,0.4579999999999999,24,30,24,31,2,1,5.0,1.0,,,5.15,-1.53,1.53,47.3,,,,,
CU,2022-10-05,75.0,2.57,5.64,"Trout, Mike",545361,686610,,ball,,,,,12.0,,R,R,L,ATH,LAA,B,,,0,0,2022,-1.64,-0.96,1.4485538430796745,2.936727725585654,,,,2,3,Top,,,,,,,0.6114450037677909,-109.01594175901768,3.469631281504677,-13.096080099485054,21.969253600059844,-40.6784734659384,3.50257228814394,1.74417158040552,,,,75.7,2066.0,7.2,662421,519390,660650,672478,640461,669397,643393,664913,668843,53.29,,,,,,,,17,1,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,314.0,-0.001,0.04,,,,,-0.04,,0,0,0.543,0.4569999999999999,24,30,24,31,2,1,5.0,1.0,,,5.07,-1.64,1.64,43.0,,,,,
FF,2022-10-05,95.2,-1.68,5.74,"Trout, Mike",545361,650204,home_run,hit_into_play,,,,,8.0,Mike Trout homers (40) on a fly ball to center field.,R,R,R,ATH,LAA,X,,fly_ball,3,2,2022,-0.14,0.8,-0.1596031033007338,1.965857569639672,,,,2,8,Top,106.92,16.53,,,,,4.323017669444143,-138.5322106467254,-6.128598407668578,-2.6534492672106937,28.730409807325767,-20.741484605557783,3.6,1.74,490.0,110.6,28.0,95.9,2333.0,6.5,662421,669127,660650,643393,676391,669397,664913,665506,668843,53.98,1.0,2.0,2.0,1.0,0.0,3.0,6.0,57,7,4-Seam Fastball,3,1,1,3,2,3,2,3,Infield shift,Standard,208.0,-0.082,2.549,,,,4.0,-2.549,110.6,2,-2,0.922,0.0779999999999999,28,30,28,31,1,3,6.0,1.0,,,1.7,0.14,0.14,48.6,,,,,
FF,2022-10-05,95.1,-1.58,5.79,"Trout, Mike",545361,650204,,ball,,,,,14.0,,R,R,R,ATH,LAA,B,,,2,2,2022,-0.18,1.02,1.4987896202515754,1.3129241609371032,,,,2,8,Top,,,,,,,8.499879128832411,-138.14793953126636,-8.456964965924215,-3.94685009921781,26.83750901292368,-17.4694034094698,3.47324814141506,1.63761077907735,,,,96.0,2257.0,6.6,662421,669127,660650,643393,676391,669397,664913,665506,668843,53.86,,,,,,,,57,6,4-Seam Fastball,3,1,1,3,1,3,1,3,Infield shift,Standard,211.0,-0.005,0.086,,,,,-0.086,,2,-2,0.927,0.0729999999999999,28,30,28,31,1,3,6.0,1.0,,,1.48,0.18,0.18,46.7,,,,,
